Dispositivo;Grupo de dispositivo;Data de início;Duração da condução;Data de parada;Duração da parada;Origem;Destino;Tempo parado com motor ligado;Velocidade máxima;Horas do motor no início da viagem;Horas do motor no final da viagem
6124;AMBEV, Vehicle, Manually Classified Powertrain;18/02/2026;00:02:56;18/02/2026;1,136143935;Av. José Marão Filho, 8754 - Polo Comercial e Industrial, Votuporanga - SP, 15502-045, Brasil;Av. José Marão Filho, 8754 - Polo Comercial e Industrial, Votuporanga - SP, 15502-045, Brasil;00:08:24;5;01:24:14;01:35:34
6124;AMBEV, Vehicle, Manually Classified Powertrain;19/02/2026;00:01:45;19/02/2026;0,001573912;Av. José Marão Filho, 8754 - Polo Comercial e Industrial, Votuporanga - SP, 15502-045, Brasil;Av. José Marão Filho, 8754 - Polo Comercial e Industrial, Votuporanga - SP, 15502-045, Brasil;00:00:28;0;01:35:34;01:37:48
6124;AMBEV, Vehicle, Manually Classified Powertrain;19/02/2026;00:01:44;19/02/2026;0,029566146;Av. José Marão Filho, 8754 - Polo Comercial e Industrial, Votuporanga - SP, 15502-045, Brasil;Av. José Marão Filho, 8754 - Polo Comercial e Industrial, Votuporanga - SP, 15502-045, Brasil;00:00:13;28;01:37:48;01:39:45
6124;AMBEV, Vehicle, Manually Classified Powertrain;19/02/2026;00:04:57;19/02/2026;7,091958449;Av. José Marão Filho, 8754 - Polo Comercial e Industrial, Votuporanga - SP, 15502-045, Brasil;Av. José Marão Filho, 8754 - Polo Comercial e Industrial, Votuporanga - SP, 15502-045, Brasil;00:00:00;17;01:39:45;01:44:57
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:01:37;16/02/2026;0,000804514;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:00:09;4;03:42:00;03:48:00
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:00:17;16/02/2026;0,047984352;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:00:00;0;03:48:00;03:48:00
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:12:50;16/02/2026;0,003564815;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:05:08;14;03:48:00;04:05:58
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:00:14;16/02/2026;0,003414352;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:04:55;2;04:05:58;04:11:07
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:08:50;16/02/2026;0,009351852;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:13:28;18;04:11:07;04:33:25
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:11:13;16/02/2026;0,019812847;Estrada Sem Nome - Jacareí, SP, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:00:21;7;04:33:25;04:42:00
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:16:27;16/02/2026;0,004699074;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estr. Mun. do Jaguari, 1285 - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:06:46;8;04:42:00;05:05:13
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:01:13;16/02/2026;0,003449074;Estr. Mun. do Jaguari, 1285 - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:04:58;8;05:05:13;05:11:24
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:23:01;16/02/2026;0,008159722;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:11:45;28;05:11:24;05:46:11
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:09:35;16/02/2026;0,028338727;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:00:11;12;05:46:11;06:00:00
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:10:37;16/02/2026;0,003449074;Estrada Sem Nome - Jacareí, SP, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:04:58;7;06:00:00;06:15:35
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:01:07;16/02/2026;0,031276852;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:00:44;7;06:15:35;06:12:00
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:03:15;16/02/2026;0,006604155;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:04:04;12;06:12:00;06:24:00
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:05:10;16/02/2026;0,035926192;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:01:10;28;06:24:00;06:30:00
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:00:37;16/02/2026;0,014316262;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:00:09;0;06:30:00;06:30:00
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:05:13;16/02/2026;0,002960671;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:00:13;15;06:30:00;06:36:00
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:02:47;16/02/2026;0,011417431;Estrada Sem Nome - Jacareí, SP, Brasil;Estr. Mun. do Jaguari, 10236 - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:00:00;0;06:36:00;06:36:00
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:05:01;16/02/2026;0,019106215;Estr. Mun. do Jaguari, 10236 - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:00:00;16;06:36:00;06:42:00
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:02:44;16/02/2026;0,020661713;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:00:13;0;06:42:00;06:48:00
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:06:27;16/02/2026;0,008086539;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:00:05;14;06:48:00;06:54:00
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:01:52;16/02/2026;0,008019387;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:00:00;0;06:54:00;06:54:00
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:03:11;16/02/2026;0,004018843;Estrada Sem Nome - Jacareí, SP, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:00:32;8;06:54:00;07:00:00
