Dispositivo;Grupo de dispositivo;Data;Data de extinção do defeito;Usuário que extinguiu o defeito;Descrição;Modo de falha;Fonte;Controlador;Código
2114;AMBEV, Vehicle, Diesel;46051,5326;0;0;Accelerometer calibration in progress (more driving required);0;Telematics Device;Telematics device;281
6053;AMBEV, Vehicle, Diesel;46051,58619;0;0;Telematics device fault: All power removed and device restarted;0;Telematics Device;Telematics device;130
6053;AMBEV, Vehicle, Diesel;46051,58829;0;0;Accelerometer calibration in progress (more driving required);0;Telematics Device;Telematics device;281
6053;AMBEV, Vehicle, Diesel;46051,59076;0;0;Telematics device fault: internal reset initiated;0;Telematics Device;Telematics device;292
6053;AMBEV, Vehicle, Diesel;46051,70869;0;0;Telematics device fault: Telematics device is unplugged;0;Telematics Device;Telematics device;136
6053;AMBEV, Vehicle, Diesel;46051,86845;0;0;Telematics device fault: All power removed and device restarted;0;Telematics Device;Telematics device;130
GCM8D91;ROTA RJ ES_CDD CAMPO GRANDE, Vehicle, CAMBIO MANUAL, VOLKSWAGEN, COMBUSTÃO, REG_MACRO REGIÃO RJ ES, CAMINHÃO TOCO / TRUCK, TRS_CONLOG, UNI_CDD CAMPO GRANDE, 80 km/h;46051,61094;0;0;Clutch switch;Abnormal rate of change;J1939;Body controller;598
GCM8D91;ROTA RJ ES_CDD CAMPO GRANDE, Vehicle, CAMBIO MANUAL, VOLKSWAGEN, COMBUSTÃO, REG_MACRO REGIÃO RJ ES, CAMINHÃO TOCO / TRUCK, TRS_CONLOG, UNI_CDD CAMPO GRANDE, 80 km/h;46051,61103;0;0;Low priority warning light is on;0;Telematics Device;Telematics device;175
GCM8D91;ROTA RJ ES_CDD CAMPO GRANDE, Vehicle, CAMBIO MANUAL, VOLKSWAGEN, COMBUSTÃO, REG_MACRO REGIÃO RJ ES, CAMINHÃO TOCO / TRUCK, TRS_CONLOG, UNI_CDD CAMPO GRANDE, 80 km/h;46051,61103;0;0;Clutch switch;Abnormal rate of change;J1939;Body controller;598
GCM8D91;ROTA RJ ES_CDD CAMPO GRANDE, Vehicle, CAMBIO MANUAL, VOLKSWAGEN, COMBUSTÃO, REG_MACRO REGIÃO RJ ES, CAMINHÃO TOCO / TRUCK, TRS_CONLOG, UNI_CDD CAMPO GRANDE, 80 km/h;46051,61103;0;0;FMS-standard diagnostics supported;Abnormal update rate;J1939;Body controller;2804
GCM8D91;ROTA RJ ES_CDD CAMPO GRANDE, Vehicle, CAMBIO MANUAL, VOLKSWAGEN, COMBUSTÃO, REG_MACRO REGIÃO RJ ES, CAMINHÃO TOCO / TRUCK, TRS_CONLOG, UNI_CDD CAMPO GRANDE, 80 km/h;46051,6111;0;0;Clutch switch;Abnormal rate of change;J1939;Body controller;598
GCM8D91;ROTA RJ ES_CDD CAMPO GRANDE, Vehicle, CAMBIO MANUAL, VOLKSWAGEN, COMBUSTÃO, REG_MACRO REGIÃO RJ ES, CAMINHÃO TOCO / TRUCK, TRS_CONLOG, UNI_CDD CAMPO GRANDE, 80 km/h;46051,61115;0;0;Clutch switch;Abnormal rate of change;J1939;Body controller;598
GCM8D91;ROTA RJ ES_CDD CAMPO GRANDE, Vehicle, CAMBIO MANUAL, VOLKSWAGEN, COMBUSTÃO, REG_MACRO REGIÃO RJ ES, CAMINHÃO TOCO / TRUCK, TRS_CONLOG, UNI_CDD CAMPO GRANDE, 80 km/h;46051,61226;0;0;FMS-standard diagnostics supported;Abnormal update rate;J1939;Body controller;2804
