Veículo;Grupo;Device ID;Número de série;Status;Plano do dispositivo;Última data de comunicação;Último registro de viagem;Último registro do GPS;Movimento do dispositivo;Status do dispositivo;Informações adicionais de status;Último endereço conhecido;Dias desde o último movimento;Último valor de download;Último download;Dias desde o recebimento da comunicação;Visualização no mapa
QSQ6G08;ROTA SP_CDD SAO JOSE CAMPOS, Vehicle, Diesel, CAMBIO MANUAL, MERCEDES BENZ, COMBUSTÃO, REG_MACRO REGIÃO SP, CAMINHÃO TOCO / TRUCK, TRS_FADEL, UNI_CDD SÃO JOSÉ DOS CAMPOS, 80 km/h;b3B3;G91EE8P646HS;OK;GO Mode;06/04/2026;06/04/2026;06/04/2026;YES;;;R. Alexandrino José de Souza, 416 - Vila Cesar, São José dos Campos - SP, 12211-310, Brasil;;5; Minutes;;Abrir no navegador
UDB9H63;SUP SUL - EMP_PONTA GROSSA, Vehicle, Diesel, CAMBIO AUTOMATICO OU SEMI AUTOMATICO, MERCEDES BENZ, COMBUSTÃO, REG_SUPPLY SUL, CAVALO MECÂNICO, TRS_LOG 20, UNI_EMP PONTA GROSSA, 90 km/h;b528;G97E2BYZR7TX;OK;GO Mode;06/04/2026;06/04/2026;06/04/2026;YES;;;Contorno Leste de Curitiba, 277 - Quissisana, São José dos Pinhais - PR, 83015, Brasil;;1; Minutes;;Abrir no navegador
UFJ3I07;SUP COMG - EMP_UBERLANDIA, Vehicle, Diesel, CAMBIO AUTOMATICO OU SEMI AUTOMATICO, MERCEDES BENZ, COMBUSTÃO, REG_SUPPLY COMG, CAVALO MECÂNICO, TRS_IMEDIATO, UNI_EMP UBERLANDIA, 90 km/h;b4BA;G9Y0HUCPXCXM;OK;GO Mode;05/04/2026;05/04/2026;05/04/2026;YES;;;BR-040, 2203 - Luziânia, GO, Brasil;;8; Days;;Abrir no navegador
UFM8F10;ROTA SP_CDD SAO JOSE CAMPOS, Vehicle, Diesel, CAMBIO MANUAL, MERCEDES BENZ, COMBUSTÃO, REG_MACRO REGIÃO SP, CAMINHÃO TOCO / TRUCK, TRS_FADEL, UNI_CDD SÃO JOSÉ DOS CAMPOS, 80 km/h;b31D;G9DM7H3F59HV;OK;GO Mode;06/04/2026;06/04/2026;06/04/2026;YES;;;R. Carlos Marcondes, 315 - Jardim Limoeiro, São José dos Campos - SP, 12241-421, Brasil;;5; Minutes;;Abrir no navegador
0117;AMBEV, Vehicle, Diesel;b739;G9MT0FE929WH;OK (Parado);GO Mode;05/04/2026;24/03/2026;05/04/2026;NO;;;Av. Pref. Humberto dos Santos 359, SE, 49160-282, Brazil;;22; Days;22 Days;Abrir no navegador
0477;AMBEV, Vehicle, Diesel;b73F;G90S570R062N;Off-line para 1 - 2 Dias;GO Mode;04/04/2026;23/03/2026;04/04/2026;NO;;;Av. Pref. Humberto dos Santos 359, SE, 49160-282, Brazil;14 Days;1; Days;1 Days;Abrir no navegador
0580;AMBEV, Vehicle, Diesel;b73A;G9YNKH7F3589;OK (Parado);GO Mode;05/04/2026;24/03/2026;05/04/2026;NO;;;Av. Pref. Humberto dos Santos 359, SE, 49160-282, Brazil;;22; Days;22 Days;Abrir no navegador
0705;AMBEV, Vehicle, Diesel;b5C1;G91VC2EP9MAM;OK (Parado);GO Mode;05/04/2026;23/03/2026;05/04/2026;NO;;;Av. Pref. Humberto dos Santos 359, SE, 49160-282, Brazil;;22; Days;22 Days;Abrir no navegador
0750;AMBEV, Vehicle, Diesel;b73D;G9Z11B24T9T7;OK (Parado);GO Mode;06/04/2026;23/03/2026;06/04/2026;NO;;;Av. Pref. Humberto dos Santos 359, SE, 49160-282, Brazil;;30; Minutes;30 Minutes;Abrir no navegador
0962;AMBEV, Vehicle, Diesel;b73B;G9W8KY1BA951;OK (Parado);GO Mode;05/04/2026;23/03/2026;05/04/2026;NO;;;Av. Pref. Humberto dos Santos 359, SE, 49160-282, Brazil;;22; Days;22 Days;Abrir no navegador
1630;AMBEV, Vehicle, Diesel;b351;G96A5RYJM207;Off-line para 3+ Dias;GO Mode;25/03/2026;02/02/2026;25/03/2026;NO;;;Av. Chesf, 1 - Parque dos Faróis, Nossa Sra. do Socorro - SE, 49160-000, Brasil;63 Days;12; Days;12 Days;Abrir no navegador
5359;AMBEV, Vehicle, Diesel;b594;G98ZSC14EM1D;OK (Parado);GO Mode;05/04/2026;02/02/2026;05/04/2026;NO;;;R. S Pq Dos Farois, 261 - Lot. Itacanema II, Nossa Sra. do Socorro - SE, 49160-000, Brasil;;21; Days;21 Days;Abrir no navegador
5361;AMBEV, Vehicle, Diesel;b584;G9VZDV2RYJU9;Off-line para 3+ Dias;GO Mode;08/03/2026;05/02/2026;08/03/2026;NO;;;Av. Chesf, 1 - Parque dos Faróis, Nossa Sra. do Socorro - SE, 49160-000, Brasil;60 Days;29; Days;29 Days;Abrir no navegador
5380;AMBEV, Vehicle, Diesel;b59E;G991PBSHAZ6T;Off-line para 3+ Dias;GO Mode;25/03/2026;02/02/2026;25/03/2026;NO;;;R. S Pq Dos Farois, 261 - Lot. Itacanema II, Nossa Sra. do Socorro - SE, 49160-000, Brasil;63 Days;11; Days;11 Days;Abrir no navegador
5398;AMBEV, Vehicle, Diesel;b333;G9EDFXM69913;Off-line para 3+ Dias;GO Mode;19/02/2026;02/02/2026;19/02/2026;NO;;;R. S Pq Dos Farois, 261 - Lot. Itacanema II, Nossa Sra. do Socorro - SE, 49160-000, Brasil;63 Days;46; Days;46 Days;Abrir no navegador
5417;AMBEV, Vehicle, Diesel;b64A;G9VC53VUUMVN;OK (Parado);GO Mode;05/04/2026;02/02/2026;05/04/2026;NO;;;R. S Pq Dos Farois, 261 - Lot. Itacanema II, Nossa Sra. do Socorro - SE, 49160-000, Brasil;;18; Days;18 Days;Abrir no navegador
5626;AMBEV, Vehicle, Diesel;b4A1;G9KK090YURA4;OK;GO Mode;06/04/2026;05/04/2026;06/04/2026;YES;;;*CD RIO (50km): Rod. Gov. Mário Covas, 47592 - Campo Grande, Rio de Janeiro - RJ, 23068, Brasil;;3; Minutes;;Abrir no navegador
6053;AMBEV, Vehicle, Diesel;b591;G93NEUDUNWKN;Off-line para 3+ Dias;GO Mode;25/03/2026;04/03/2026;25/03/2026;NO;;;Av. José Marão Filho, 8754 - Polo Comercial e Industrial, Votuporanga - SP, 15502-045, Brasil;33 Days;12; Days;12 Days;Abrir no navegador
6124;AMBEV, Vehicle, Manually Classified Powertrain;b58F;G9SVE2ZUK27S;OK (Parado);GO Mode;05/04/2026;23/03/2026;05/04/2026;NO;;;Av. Pref. Humberto dos Santos 359, SE, 49160-282, Brazil;;22; Days;22 Days;Abrir no navegador
6416;AMBEV, Vehicle, Diesel;b55C;G9PHN3BS22HU;OK (Parado);GO Mode;06/04/2026;25/03/2026;06/04/2026;NO;;;Av. Pref. Humberto dos Santos 359, SE, 49160-282, Brazil;;31; Minutes;31 Minutes;Abrir no navegador
7031;AMBEV, Vehicle, Diesel;b59B;G99J06BHSYYD;OK;GO Mode;06/04/2026;06/04/2026;06/04/2026;YES;;;Rod. Pres. Dutra, 199 - Jardim Real, Arujá - SP, 07402-790, Brasil;;1; Minutes;;Abrir no navegador
7416;AMBEV, Vehicle, Diesel;b2F5;G9UP6KZ3ZWE4;OK (Parado);GO Mode;06/04/2026;03/04/2026;06/04/2026;NO;;;CD AMBEV JUNDIAI: R. Pietro Antonio Leo, 201 - St. Industrial, Jundiaí - SP, 13213-007, Brasil;;32; Minutes;32 Minutes;Abrir no navegador
